feature_name,nonzero_ratio,std
atr,1,668.037373
atr_pct,0,0
authenticity_avg,0.05,0.118235
avg_similarity_top10,1,0
basis,0,0
basis_change_5d,0,0
bayes_gain_uncertainty,0,0
bayes_momentum_1d,0,0
bayes_momentum_5d,0,0
bayes_volatility,0,0
bb_position,0,0
beta_60d,1,2.330337
cpi_yoy,0,0
credit_balance_change,0,0
credit_spread,0,0
cross_trend,0.995652,50.781656
cycle_down,0,0
cycle_up,0,0
days_to_cover,0,0
debt_ratio,1,266.237569
derivatives_volume,0,0
disclosure_count_5d,0,0
economic_event_count_7d,0,0
economic_event_impact,0,0
etf_flow_5d,0,0
event_capital_increase_5d,0,0
event_cb_bw_5d,0,0
event_contract_5d,0,0
event_delisting_5d,0.05,0.217945
event_disaster_5d,0,0
event_exec_change_5d,0,0
event_litigation_5d,0,0
event_macro_5d,0,0
event_market_liquidity_5d,0.05,0.217945
event_mna_5d,0,0
event_new_product_5d,0,0
event_partnership_5d,0.05,0.217945
event_patent_5d,0,0
event_realized_5d,0.05,0.87178
event_recall_5d,0,0
event_regulation_5d,0,0
event_stake_change_5d,0,0
event_treasury_5d,0,0
foreign_net_buy,0,0
foreign_net_buy_5d,0,0
foreign_ownership_pct,0,0
futures_premium,0,0
fx_change_1m,1,0
fx_change_3m,1,0
fx_usd_krw,1,0
institution_net_buy,0,0
institution_net_buy_5d,0,0
institution_ownership_pct,0,0
interest_rate,0,0
interest_rate_change_1m,0,0
interest_rate_change_3m,0,0
kalman_gain,1,0.116703
kalman_momentum_1d,1,0.007974
kalman_momentum_5d,1,0.006273
kalman_volatility,1,0.959216
krx_advance_decline_ratio,0,0
krx_total_trading_value,0,0
macd,1,262.289605
ma_position_120,1,29.08619
ma_position_20,1,7.144269
ma_position_5,0.995652,3.018652
ma_position_60,1,23.255849
margin_balance_change,0,0
market_breadth,0,0
market_impact_score,0.05,21.794495
max_similarity,1,0
momentum_1m_reverse,0.993478,0.621986
momentum_3_12m,0,0
momentum_divergence,0.991304,0.23013
momentum_ni,0.15,27.696135
momentum_op,0.3,77.197544
momentum_vs_volatility,0.954348,0.004291
negative_ratio,0.05,0.019813
net_income,0.9,26084748964.30319
net_margin,0.9,38.497115
news_count_20d,0.05,4.794789
news_count_5d,0.05,1.089725
oil_change_1m,1,0
oil_change_3m,1,0
oil_wti,1,0
operating_profit,1,22122321049.473843
op_margin,1,69.991093
op_margin_change_yoy,1,70.541233
pbr_current,1,2.018358
pbr_percentile,1,0
per_current,0.5,82.094982
per_percentile,1,0
positive_ratio,0.05,0.148599
ppi_yoy,0,0
price,1,9551.999198
price_volume,1,13513.411674
price_vs_sector,0.954348,0.031905
program_trading_ratio,0,0
quality_asset_growth,1,13.286372
quality_beta,0,0
quality_cp_to_assets,0,0
quality_debt_ratio_change,1,189.185562
quality_earnings_volatility,0.45,9041372412.541683
quality_f_score,0.75,1.589811
quality_op_growth,0.3,77.197544
quality_op_to_equity,1,0.081299
quality_price_volatility_60d,1,2.330337
quality_roa,0.9,4.160988
quality_roe,0.9,104.131953
quality_score,1,0.238485
rank_ma_position_5,1,0.288671
rank_return_20d,1,0.288671
rank_return_5d,1,0.288671
rank_volatility_20d,1,0.288671
rank_volume_ratio_20,1,0.288671
rank_volume_ratio_5,1,0.288671
relative_strength,0,0
retail_ownership_pct,0,0
return_1d,0.954348,0.031905
return_20d,0.995652,0.605747
return_5d,0.980435,0.053211
return_5d_mean_10d,1,0.166422
revenue,1,121709888371.61906
revenue_growth_yoy,0.25,32.077843
roe,0.9,104.131953
rsi,1,8.011353
sector_count,0,0
sector_momentum,0,0
sentiment_avg,0.05,0.074101
sentiment_avg_20d,0.05,0.074101
sentiment_avg_5d,0.05,0.095896
sentiment_avg_db,0.013043,0.055197
sentiment_momentum,0.013043,0.113877
sentiment_trend,0.05,0.152561
sentiment_volatility,0.05,0.065256
short_interest_ratio,0,0
short_medium_term_momentum,0.93913,0.005491
short_selling_ratio,0,0
similar_count,1,0
similarity_std,0,0
similar_stocks_return_avg,1,0.055879
similar_stocks_return_std,1,0.024912
target_ma_10,1,0.026224
target_ma_20,1,0.040277
target_ma_5,1,0.011875
theme_count,0,0
theme_exposure_5d,0.05,12.422862
theme_max_relevance,0,0
theme_momentum,0,0
trend_confirmation,0.980435,0.758411
trend_interaction,0.976087,0.021984
twin_avg_correlation,0,0
twin_count,0,0
value_ev_ebit,0.65,1008.099838
value_ncav,0,0
value_pbr,1,2.018358
value_pcr,0,0
value_per,0.5,82.094982
value_pfcr,0,0
value_psr,1,16.799154
vix_proxy,1,2.8529
volatility_20d,1,0.179716
volatility_20d_mean_10d,1,0.199834
volatility_20d_rank,1,24.504296
volatility_60d,1,0.146797
volatility_skew,1,0.267239
volatility_volume,1,0.251439
volume_price_trend,0.980435,0.119674
volume_ratio_20,1,1.607909
volume_ratio_5,1,0.72599
volume_ratio_5_mean_10d,1,0.158264
volume_ratio_vs_avg,1,1.607909
yield_spread,0,0
