stock_code,stock_name,sector,confidence,expected_return
036800,나이스정보통신,Unknown,0.3805,-23.9
319400,현대무벡스,Unknown,0.3785,-24.3
042370,엑시콘,Unknown,0.3782,-24.36
047770,티앤알바이오팹,Unknown,0.3742,-25.16
190510,나무가,Unknown,0.374,-25.19
058970,코스맥스엔비티,Unknown,0.3733,-25.33
051390,YW,Unknown,0.372,-25.6
052420,젝시믹스,Unknown,0.3716,-25.67
282880,코윈테크,Unknown,0.371,-25.8
082920,성호전자,Unknown,0.3708,-25.85
057030,YBM넷,Unknown,0.3705,-25.91
263020,디케이앤디,Unknown,0.3699,-26.03
073490,드림시큐리티,Unknown,0.3697,-26.05
078070,유비쿼스홀딩스,Unknown,0.3677,-26.45
063440,SM Life Design,Unknown,0.3675,-26.5
053620,한패스,Unknown,0.3672,-26.56
078350,한양디지텍,Unknown,0.3661,-26.78
065710,상아프론테크,Unknown,0.3659,-26.81
127980,화인써키트,Unknown,0.3654,-26.91
182360,서한,Unknown,0.3653,-26.94
