iter	Passed	Remaining
0	88	26395
1	111	16592
2	146	14546
3	197	14649
4	224	13242
5	248	12179
6	275	11546
7	301	10988
8	330	10678
9	359	10435
10	386	10159
11	424	10189
12	459	10147
13	495	10122
14	529	10062
15	559	9927
16	593	9880
17	632	9905
18	666	9853
19	688	9640
20	713	9474
21	735	9293
22	756	9115
23	791	9097
24	827	9101
25	864	9106
26	892	9026
27	921	8952
28	953	8910
29	988	8899
30	1018	8835
31	1048	8783
32	1078	8722
33	1107	8667
34	1137	8612
35	1166	8552
36	1198	8517
37	1229	8477
38	1260	8434
39	1289	8384
40	1324	8369
41	1353	8313
42	1385	8279
43	1411	8210
44	1435	8136
45	1471	8123
46	1499	8072
47	1524	8006
48	1551	7949
49	1579	7899
50	1619	7907
51	1658	7909
52	1681	7837
53	1711	7795
54	1735	7729
55	1764	7688
56	1809	7716
57	1849	7715
58	1884	7697
59	1907	7630
60	1930	7562
61	1956	7510
62	1982	7458
63	2024	7464
64	2078	7514
65	2109	7478
66	2135	7427
67	2164	7383
68	2193	7342
69	2224	7308
70	2248	7252
